,store,sido,gungu,store_address
600,대전유성구신성자운점,대전,유성구,대전광역시유성구가정로43
601,대전유성구원내점,대전,유성구,대전광역시유성구진잠로78번길56
602,대전유성구전민점,대전,유성구,대전유성구전민로6번길27
603,대전유성구테크노점,대전,유성구,대전유성구관들5길47
604,대전유성구학하덕명점,대전,유성구,대전광역시유성구학하남로3
605,대전중구문화점,대전,중구,대전중구보문산로171번길39
606,대전중구부사점,대전,중구,대전광역시중구보문로92
607,대전중구중촌목동점,대전,중구,대전광역시중구목동로8번길77
608,대전중구태평점,대전,중구,대전중구태평로118-1
609,부산강서구강서구청점,부산,강서구,부산강서구대저로274번길35
610,부산강서구명지국제신도시점,부산,강서구,부산강서구명지국제8로234정우빌딩2차115
611,부산강서구명지오션시티점,부산,강서구,부산강서구명지오션시티9로58
612,부산금정구구서1점,부산,금정구,부산금정구구서2동203-32
613,부산금정구남산점,부산,금정구,부산금정구남산동188-6
614,부산금정구부곡1점,부산,금정구,부산금정구부곡동19-9
615,부산금정구부곡행복점,부산,금정구,부산금정구부곡로64
616,부산금정구부산대점,부산,금정구,부산금정구장전동221-24
617,부산금정구서동점,부산,금정구,부산금정구서동542-35
618,부산기장군기장점,부산,기장군,부산기장군기장읍대라리413-4
619,부산기장군정관점,부산,기장군,부산기장군정관면매학리767-4
620,부산남구감만점,부산,남구,부산남구석포로51
621,부산남구대연못골점,부산,남구,부산남구진남로36번길58
622,부산남구대연점,부산,남구,부산남구유엔로183번길35
623,부산남구문현점,부산,남구,부산남구문현3동202-55번지
624,부산남구용호점,부산,남구,부산남구용호동181-1현대비치상가1동103호
625,부산남구용호행복점,부산,남구,부산남구동명로158번길104
626,부산동구범일점,부산,동구,부산동구자성로116번길2
627,부산동구초량점,부산,동구,부산광역시동구초량상로65
628,부산동래구명장점,부산,동래구,부산동래구명안로86번길30
629,부산동래구사직1점,부산,동래구,부산동래구사직동45-33번지
630,부산동래구수안낙민점,부산,동래구,부산동래구명륜로75번길31
631,부산동래구안락1점,부산,동래구,부산동래구안락동629-76
632,부산동래구온천3동점,부산,동래구,부산동래구충렬대로126번길19
633,부산동래구온천점,부산,동래구,부산동래구차밭골로27
634,부산부산진구가야개금1점,부산,부산진구,부산부산진구냉정로262-1
635,부산부산진구가야당감점,부산,부산진구,부산부산진구가야대로633
636,부산부산진구당감부암1점,부산,부산진구,부산부산진구당감4동702-1
637,부산부산진구범천점,부산,부산진구,부산부산진구신암로66판매시설동106호
638,부산부산진구신개금점,부산,부산진구,부산부산진구개금3동380-1
639,부산부산진구양정점,부산,부산진구,부산부산진구범전동63-6
640,부산부산진구전포점,부산,부산진구,부산부산진구동성로35
641,부산부산진구초읍연지점,부산,부산진구,부산부산진구초읍동207-18
642,부산북구구포1점,부산,북구,부산북구시랑로32
643,부산북구금곡점,부산,북구,부산북구금곡동67-12
644,부산북구덕천점,부산,북구,부산북구덕천2길45
645,부산북구만덕점,부산,북구,부산북구덕천로280
646,부산북구화명2점,부산,북구,부산북구화명동2316-9번지102호
647,부산사상구괘법점,부산,사상구,부산사상구괘법동519-1강변동원아파트상가107동102호
648,부산사상구모덕점,부산,사상구,부산광역시사상구사상로342번길12
649,부산사상구모라1점,부산,사상구,부산사상구백양대로960-1
650,부산사상구신주례점,부산,사상구,부산광역시사상구양지로42
651,부산사상구주례점,부산,사상구,부산사상구주례로25
652,부산사상구학장엄궁점,부산,사상구,부산사상구학장동574-57번지삼성2차아파트상가206호
653,부산사하구괴정1점,부산,사하구,부산사하구괴정로235-1
654,부산사하구괴정행복점,부산,사하구,부산사하구사리로4
655,부산사하구구평감천점,부산,사하구,부산사하구구평동105-1
656,부산사하구다대1점,부산,사하구,부산사하구윤공단로14번길33
657,부산사하구다대2점,부산,사하구,부산사하구장림동426번지극동정립아파트상가301호
658,부산사하구당리점,부산,사하구,부산사하구승학로40
659,부산사하구신평점,부산,사하구,부산사하구다대로142번길16
660,부산사하구하단점[B],부산,사하구,부산사하구하단동492-2대우프라자상가B105
661,부산서구대신점,부산,서구,부산서구망양로28
662,부산서구부민충무점,부산,서구,부산서구토성동5가42-3
663,부산수영구광안1점,부산,수영구,부산수영구광안동165-6
664,부산수영구남천점,부산,수영구,부산수영구남천동77-25
665,부산수영구망미점,부산,수영구,부산수영구연수로302번길4
666,부산수영구민락점,부산,수영구,부산수영구수영로741번길12
667,부산연제구거제점,부산,연제구,부산연제구월드컵대로187번길23
668,부산연제구시청점,부산,연제구,부산연제구중앙대로1038번길64상가101호
669,부산연제구연산로타리점,부산,연제구,부산연제구거제천로230번길25
670,부산연제구연산토곡점,부산,연제구,부산연제구과정로132번길32
671,부산영도구남항점,부산,영도구,부산영도구남항로24-2
672,부산영도구동삼점,부산,영도구,부산영도구동삼로59번길15
673,부산영도구청학점,부산,영도구,부산영도구태종로332
674,부산중구중부산점,부산,중구,부산중구대청로25번길4
675,부산해운대구반송1점,부산,해운대구,부산해운대구반송2동216-112번지
676,부산해운대구반여2점,부산,해운대구,부산해운대구선수촌로153
677,부산해운대구벡스코점,부산,해운대구,부산해운대구해운대로383번길25
678,부산해운대구센텀점,부산,해운대구,부산해운대구재반로29
679,부산해운대구송정점,부산,해운대구,부산해운대구송정해변로8-14
680,부산해운대구우1점,부산,해운대구,부산해운대구해운대해변로141
681,부산해운대구재송반여점,부산,해운대구,부산해운대구재송2로28번길6
682,부산해운대구해운대신도시1호점,부산,해운대구,부산해운대구해운대로774번길30
683,부산해운대구해운대중동점,부산,해운대구,부산해운대구좌동순환로468번가길20
684,부산해운대구해운대행복점,부산,해운대구,부산해운대구좌동순환로99번길22
685,서울강남구개포1점,서울,강남구,서울특별시강남구개포로25길12
686,서울강남구논현1점,서울,강남구,서울강남구강남대로126길38
687,서울강남구도곡점,서울,강남구,서울강남구도곡로28길8
688,서울강남구수서점,서울,강남구,서울강남구광평로51길22
689,서울강남구신사점,서울,강남구,서울강남구논현로159길25
690,서울강남구역삼1점,서울,강남구,서울강남구논현로67길48
691,서울강남구역삼충현점,서울,강남구,서울강남구봉은사로26길28
692,서울강남구일원점,서울,강남구,서울특별시강남구일원로5길54
693,서울강남구자곡점,서울,강남구,서울특별시강남구자곡로202
694,서울강남구청담점,서울,강남구,서울강남구삼성로145길14
695,서울강동구강일점,서울,강동구,서울특별시강동구아리수로94길19
696,서울강동구길동1점,서울,강동구,서울특별시강동구진황도로47길15
697,서울강동구길동2점,서울,강동구,서울특별시강동구천호대로199길15
698,서울강동구둔촌점,서울,강동구,서울특별시강동구천호대로182길41
699,서울강동구명일점[B],서울,강동구,서울강동구동남로67길22
