순위,영화명,변동폭
1,그것만이 내 세상, 0
2,코코, 0
3,염력,+3
4,신과함께-죄와 벌,-1
5,메이즈 러너: 데스 큐어,-1
6,1987,+1
7,1급기밀,-2
8,커뮤터, 0
9,인시디어스4: 라스트 키, 0
10,조선명탐정: 흡혈괴마의 비밀,+3
11,12 솔져스,+3
12,다운사이징,-1
13,위대한 쇼맨,-1
14,비밥바룰라,-4
15,원더, 0
16,토르: 라그나로크, 0
17,강철비, 0
18,타이타닉,+4
19,블랙 팬서,+6
20,골든슬럼버,-1
21,올 더 머니,+4
22,원더 휠,-4
23,너의 췌장을 먹고 싶어,-3
24,돌아와요 부산항애(愛),+3
25,쥬만지: 새로운 세계,-2
26,흥부,+6
27,오리엔트 특급 살인,-6
28,월요일이 사라졌다,+1
29,극장판 레이디버그: 미라클스톤의 비밀,-3
30,종이비행기,+3
31,9/11,-3
32,어벤져스: 인피니티 워,-1
33,더 포리너,+7
34,궁합,+2
35,진주 귀걸이를 한 소녀, 0
36,식스 빌로우,-2
37,쿵푸몽키,-7
38,군함도,+4
39,포르토,-2
40,50가지 그림자: 해방,+3
41,새벽을 알리는 루의 노래,+3
42,리틀 포레스트,+17
43,게이트,+11
44,천화,-5
45,누에치던 방,-4
46,기생 : 꽃의 고백,+6
47,블레이드 러너 2049,-2
48,패터슨,+1
49,M.F.A.,-3
50,꾼, 0
