,store_location,store_name,store_address,phone_number
0,경기도,남동탄점,경기도 화성시 동탄대로4길95 (장지동),031-376-4492
1,부산광역시,구서점,"부산광역시 금정구 금강로 563, 1층(구서동)",051-582-9279
2,부산광역시,국제신도시점,"부산광역시 강서구 명지국제5로 14, 1층 101호(명지동, 서진빌딩)",051-968-7888
3,강원도,평창점,강원도 평창군 평창읍 백오1길 33,033-333-0009
4,경기도,여주교동점,경기도 여주시 세종로 254-16 (교동),031-881-3799
5,대구광역시,도원점,대구광역시 달서구 도원남로56 산새마을 분산상가 1층 103호,053-641-0041
6,부산광역시,좌동상록점,"부산광역시 해운대구 세실로 7, 104호(좌동, 해운대상록아파트상가)",051-703-0678
7,부산광역시,구남역점,부산광역시 북구 백양대로 1015번길 15(구포동),051-335-7766
8,경기도,이천점,경기도 이천시 관고동 12-4,031-633-1823
9,부산광역시,부곡점,부산광역시 금정구 동현로 23(부곡동),051-581-7890
10,경상남도,석산점,경상남도 양산시 동면 금오7길 24,055-363-9911
11,부산광역시,문현1동점,"부산광역시 남구 고동골로 66, 1층(문현동)",051-624-9875
12,부산광역시,양정1호점,부산광역시 부산진구 양지로 5번길 20(양정동),051-867-9955
13,경기도,통진점,경기도 김포시 통진읍 서암로6번길 5-21,031-996-8295
14,경상남도,상동점,경남 거제시 거제중앙로3길 14-2(상동동),055-635-9290
15,부산광역시,반송2호점,"부산광역시 해운대구 아랫반송로 51, 1층(반송동)",051-545-9266
16,경기도,소사벌점,경기도 평택시 비전동 1053,031-656-8292
17,경기도,동탄중앙점,경기도 화성시 동탄산척로 2나길 6-7 (산척동),031-375-8292
18,경상북도,항구영일대점,경상북도 포항시 북구 아호로 3,054-253-9996
19,대구광역시,반야월점,대구광역시 동구 안심로41길 47,053-964-0797
20,대구광역시,테크노폴리스점,대구광역시 달성군 유가읍 테크노중앙대로 326-35,053-611-6265
21,경기도,비전점,경기도 평택시 중앙로235 (비전동),031-658-9989
22,경기도,능곡점,경기도 시흥시 능곡중앙로77,031-404-0123
23,경기도,비산점,경기도 안양시 동안구 평촌대로408 (비산동),031-387-1112
24,경기도,부곡점,경기도 의왕시 삼동 150-16,031-462-9233
25,충청남도,홍성점,충남 홍성군 홍성읍 충절로1053번길 41,041-633-9995
26,충청북도,율량사천점,충북 청주시 청원구 율량로190번길19,043-903-0991
27,충청북도,증평점,충북 증평군 증평읍 문화로83,043-838-8977
28,대전광역시,송강테크로점,대전시 유성구 구즉로48번길10,042-935-9294
29,부산광역시,몰운대롯데캐슬점,"부산광역시 사하구 다대낙조2길 100, 101호(다대동,롯데캐슬몰운대아파트부상가)",051-262-9252
30,대구광역시,옥포돌미점,대구시 달성군 옥포면 돌미상업로2길 26,053-615-9986
31,경상북도,영양점,경상북도 영양군 영양읍 중앙로 111,054-682-1950
32,경상북도,대도점,경상북도 포항시 남구 대도동 163-1,054-277-8892
33,경상남도,대합공단점,경남 창녕군 대합면 대합산업단지로 119-15,055-533-0677
34,경기도,배곧점,경기도 시훙시 배곧4로32-27,031-432-9998
35,경기도,광주점,경기도 광주시 송정동111-1,031-477-9282
36,경기도,신하점,경기도 이천시 부발읍 신하리 432-15,031-636-8726
37,경기도,관양점,경기도 안양시 동안구 관양동 1429-12,031-422-5057
38,경기도,중동점,경기도 부천시 원미구 부흥로 272번길 22,031-321-7636
39,경기도,조암점,경기도 화성시 장안면 기아자동차로 789 103호,031-358-3392
40,경기도,정왕점,경기도 시흥시 정왕동 1193-14,031-319-5192
41,경기도,일죽점,경기도 안성시 일죽면 송천리 18,031-672-9385
42,경기도,인계점,경기도 수원시 팔달구 인계동 1008-9,031-232-7234
43,경기도,이천사동점,경기도 이천시 대월면 사동리 182-2,031-638-9013
44,경기도,은행점,"경기도 시흥시 시흥대로 1074번길 28,106호(은행동, 녹원아파트 상가동)",031-312-9999
45,경기도,월곶점,경기도 시흥시 월곶동 995,031-318-9292
46,경기도,원곡점,경기도 안성시 원곡면 만세로 1058,031-654-9220
47,경기도,우만점,경기도 수원시 팔달 우만동 481-29,031-256-0903
48,경기도,호법점,경기도 이천시 호법면 후안리 267-4,031-632-9949
49,경기도,하안8점,경기도 광명시 하안동 260-2 8단지상가 104-2,02-802-4070
50,경기도,하안12점,경기도 광명시 하안동 62-4  1층 3호,02-806-5772
51,경기도,하안11점,경기도 광명시 하안동 305  10 단지상가  104,02-803-2993
52,경기도,포일내손점,경기도 의왕시 내손동652-15,031-425-1145
53,경기도,포도원,경기도 안양시 동안구 호계3동 811 현대홈타운상가 107,031-452-0827
54,경기도,평촌5점,경기도 안양시 동안구 평촌동 898-2 초원아파트상가110,031-387-2134
55,경기도,태전점,경기도 광주시 태전동 688-1,031-762-9525
56,경기도,철산점,경기도 광명시 철산동 240  주공13단지 상가동,02-2682-3230
57,경기도,철산2점,"경기도 광명시 연서로2번길 11, 1층 1호(철산동)",02-2615-1805
58,경기도,천리점,경기도 용인시 이동면 천리 56-6,031-333-5784
59,경기도,중앙대,경기도 안성시 대덕면 내리 682-3,031-675-7750
60,경기도,안양중앙점,경기도 안양시 만안구 안양동 711-815,031-444-5592
61,경기도,안양2점,경기도 안양시 만안구 안양동 873-162,031-447-9292
62,경기도,안성점,경기도 안성시 도기 4길 9(도기동),031-671-9282
63,경기도,신흥산성점,경기도 성남시 수정구 수정남로 305번길11.103호,031-733-8382
64,경기도,신천리점,경기도 시흥시 호현로49번안길 1(대야동),031-312-9709
