분류1,분류2,일반국도,지방도,특별광역시도,시도,군도,고속국도,이면도로,기타
차대사람,횡단중,1075,1904,11316,9610,751,24,1952,191
차대사람,차도통행중,103,169,1803,868,95,18,543,23
차대사람,길가장자리구역통행중,79,179,1385,686,150,3,1029,33
차대사람,보도통행중,51,79,854,428,24,1,128,62
차대사람,기타,382,661,5651,2929,288,72,2561,329
차대차,정면충돌,1984,2523,4814,7837,943,251,985,161
차대차,측면직각충돌,5522,5847,29174,25284,2750,888,3626,306
차대차,추돌,4471,3025,17647,12238,743,1923,830,146
차대차,기타,1939,2397,12030,8557,630,946,1324,268
차량단독,공작물충돌,336,326,575,603,161,87,62,10
차량단독,도로이탈,43,54,24,54,48,2,28,10
차량단독,주/정차차량 충돌,0,3,11,14,4,0,4,0
차량단독,전도전복,761,864,929,1360,535,75,269,61
차량단독,기타,213,191,1472,962,72,57,104,29
건널목,기타,0,1,0,3,0,0,2,0
