,sotre,sido,gungu,store_address
900,울산북구아진점,울산,북구,울산북구가재길82
901,울산북구양정점,울산,남구,울산북구염포로517
902,울산북구호계점,울산,북구,울산북구동대8길12
903,울산북구화봉점,울산,북구,울산북구두부곡14길15
904,울산울주군구영점,울산,울주군,울산울주군범서읍대리1길23-6
905,울산울주군남창점,울산,울주군,울산울주군온양읍연안4길18
906,울산울주군언양점[B],울산,울주군,울산울주군언양읍동부8길12
907,울산중구다운점,울산,중구,울산중구다운로75
908,울산중구반구점,울산,중구,울산중구염포로78
909,울산중구병영점,울산,중구,울산중구동천4길15
910,울산중구약사점,울산,중구,울산중구구교10길51
911,울산중구우정점,울산,중구,울산중구유곡로70
912,울산중구우정혁신점,울산,중구,울산중구종가2길1-2
913,인천강화군강화1점,인천,강화군,인천광역시강화군강화읍강화대로362
914,인천계양구계산점,인천,계양구,인천광역시계양구용마루길20
915,인천계양구계산중앙점[B],인천,계양구,인천계양구계양대로194번길18
916,인천계양구계양점,인천,계양구,인천계양구임학서로18
917,인천계양구동양점,인천,계양구,인천계양구당미1길7
918,인천계양구작전점,인천,계양구,인천광역시계양구주부토로447
919,인천계양구효성점[B],인천,계양구,인천광역시계양구목화밭길26
920,인천남구문학관교점,인천,남구,인천광역시남구매소홀로576번길5-9
921,인천남구용현점,인천,남구,인천남구아암대로45번길83-8
922,인천남구제물포점,인천,남구,인천광역시남구수봉안길13번길2
923,인천남구주안2점,인천,남구,인천남구인주대로319번길38
924,인천남구주안역점,인천,남구,인천광역시남구주안로201
925,인천남구주안점,인천,남구,인천광역시남구인주대로489
926,인천남구학익점,인천,남구,인천광역시남구소성로175-16
927,인천남동구간석점[B],인천,남동구,인천광역시남동구구월로131번길52
928,인천남동구구월점,인천,남동구,인천남동구용천로27
929,인천남동구논현점,인천,남동구,인천광역시남동구논곡로79
930,인천남동구논현택지점[B],인천,남동구,인천광역시남동구소래역서로10-28
931,인천남동구만수1점,인천,남동구,인천광역시남동구하촌로48
932,인천남동구만수2점,인천,남동구,인천광역시남동구백범로180번길114
933,인천남동구서창1점,인천,남동구,인천광역시남동구장아산로1301층
934,인천동구동인천송현점,인천,동구,인천광역시동구화도로15
935,인천동구송림점,인천,동구,인천동구동산로89
936,인천부평구갈산점[B],인천,부평구,인천부평구굴포로81-1
937,인천부평구부개점,인천,부평구,인천광역시부평구길주남로101번길4-19
938,인천부평구부일점,인천,부평구,인천광역시부평구경인로1092번길17-1
939,인천부평구부평남부점,인천,부평구,인천광역시부평구남부역로3
940,인천부평구부평롯데점,인천,부평구,인천부평구경원대로1367번길12
941,인천부평구부평중앙점,인천,부평구,인천광역시부평구장제로84번길6
942,인천부평구산곡점,인천,부평구,인천부평구화랑남로9번길20
