분류1,분류2,20세이하,21_30세,31_40세,41_50세,51_60세,61세이상
차대사람,횡단중,1125,3187,4508,6071,6473,5459
차대사람,차도통행중,136,475,578,767,876,790
차대사람,길가장자리구역통행중,95,486,520,743,822,878
차대사람,보도통행중,106,185,237,360,372,367
차대사람,기타,422,1463,1899,2773,3401,2915
차대차,정면충돌,823,2889,3227,4124,4723,3712
차대차,측면직각충돌,3335,9786,11390,15199,18089,15598
차대차,추돌,1191,6226,7727,9244,9995,6640
차대차,기타,1117,3689,4525,5871,6758,6131
차량단독,공작물충돌,131,402,337,387,497,406
차량단독,도로이탈,16,32,33,42,59,81
차량단독,주/정차차량 충돌,6,5,9,8,2,6
차량단독,전도전복,401,846,650,824,974,1159
차량단독,기타,102,126,259,806,1257,550
건널목,기타,0,0,1,0,1,4
