분류1,분류2,20세이하,21_30세,31_40세,41_50세,51_60세,61세이상,승용차,승합차,화물차,특수차,이륜차,원동기장치자전거,자전거,건설기계,농기계,불명,일반국도,지방도,특별광역시도,시도,군도,고속국도,이면도로,기타,과속,중앙선침범,신호위반,안전거리미확보,안전운전의무불이행,교차로통행방법위반,보행자보호의무위반,기타,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
차대사람,횡단중,1125,3187,4508,6071,6473,5459,18494,1765,3026,66,1490,704,456,138,3,681,1075,1904,11316,9610,751,24,1952,191,152,314,2906,19,15888,190,6927,427,2278,2048,2140,2317,2321,2056,2047,1863,2053,2472,2582,2646
차대사람,차도통행중,136,475,578,767,876,790,2486,234,414,11,164,98,86,20,1,108,103,169,1803,868,95,18,543,23,13,55,61,4,3331,34,61,63,312,302,336,285,294,256,308,279,285,331,320,314
차대사람,길가장자리구역통행중,95,486,520,743,822,878,2481,159,428,7,100,49,67,15,3,235,79,179,1385,686,150,3,1029,33,2,35,25,4,3375,16,26,61,273,259,323,331,319,251,273,267,255,324,349,320
차대사람,보도통행중,106,185,237,360,372,367,898,83,193,1,123,66,182,6,1,74,51,79,854,428,24,1,128,62,5,44,92,2,565,6,334,579,109,100,156,179,147,140,144,141,145,136,98,132
차대사람,기타,422,1463,1899,2773,3401,2915,8143,1589,1376,48,387,202,423,91,9,605,382,661,5651,2929,288,72,2561,329,23,121,239,21,10911,77,414,1067,901,833,1061,1140,1187,1051,1060,1105,1144,1200,1084,1107
차대차,정면충돌,823,2889,3227,4124,4723,3712,13394,818,2535,91,1187,463,662,172,46,130,1984,2523,4814,7837,943,251,985,161,47,4135,3391,1035,7889,1775,4,1222,1475,1258,1520,1651,1717,1663,1742,1565,1578,1819,1796,1714
차대차,측면직각충돌,3335,9786,11390,15199,18089,15598,49358,3416,8532,368,5161,2294,2468,1019,174,607,5522,5847,29174,25284,2750,888,3626,306,158,4177,14449,7437,28748,9404,10,9014,5620,5253,6066,6597,6528,6193,6539,6436,5875,6352,6181,5757
차대차,추돌,1191,6226,7727,9244,9995,6640,29473,2209,5880,192,1451,617,288,563,16,334,4471,3025,17647,12238,743,1923,830,146,125,380,701,8394,29398,790,10,1225,3424,3133,3328,3511,3521,3144,3389,3383,3258,3714,3552,3666
차대차,기타,1117,3689,4525,5871,6758,6131,18477,1561,3114,136,1611,745,1066,403,45,933,1939,2397,12030,8557,630,946,1324,268,80,1420,2517,3678,15093,2276,22,3005,1848,1742,2178,2471,2531,2280,2504,2480,2409,2666,2490,2492
차량단독,공작물충돌,131,402,337,387,497,406,1430,154,305,9,158,70,22,7,4,1,336,326,575,603,161,87,62,10,28,7,4,3,2069,7,0,42,199,170,165,191,206,182,201,181,158,193,146,168
차량단독,도로이탈,16,32,33,42,59,81,132,21,45,2,30,13,6,3,10,1,43,54,24,54,48,2,28,10,4,0,0,0,251,0,0,8,24,19,22,22,25,23,21,31,27,13,16,20
차량단독,주/정차차량 충돌,6,5,9,8,2,6,25,0,2,0,6,2,1,0,0,0,0,3,11,14,4,0,4,0,0,2,0,0,33,0,0,1,4,3,2,6,3,1,1,1,3,8,1,3
차량단독,전도전복,401,846,650,824,974,1159,2193,223,655,18,1017,460,122,44,116,6,761,864,929,1360,535,75,269,61,23,21,10,26,4647,15,0,112,363,366,389,472,477,450,465,403,394,409,353,313
차량단독,기타,102,126,259,806,1257,550,705,1877,68,2,191,123,87,1,15,31,213,191,1472,962,72,57,104,29,3,1,13,37,2199,12,0,835,236,177,260,279,278,284,261,263,299,281,266,216
건널목,기타,0,0,1,0,1,4,3,0,3,0,0,0,0,0,0,0,0,1,0,3,0,0,2,0,0,0,0,0,2,0,0,4,1,1,0,0,0,3,0,0,0,0,0,1
