Name,Address,Tell
이소 울산구영점,울산 울주군 범서읍 점촌3길 10-10 ,전화번호 : 052-248-6111
이소 포항이동점,경북 포항시 북구 대이로 180 (득량동) ,전화번호 : 054-274-3352
이소 이시아점,대구 동구 팔공로51길 15-8 (봉무동) ,전화번호 : 053-986-7111
이소 부산교대점,부산 연제구 교대로 10 (거제동) ,전화번호 : 051-505-2080
이소 극동대학교점,충북 음성군 감곡면 대학길 76-32 극동대학교,전화번호 : 000-0000-0000
이소 두산점,대구 수성구 상화로 136 (두산동) ,전화번호 : 053-767-3337
이소 의정부직영점,경기 의정부시 시민로131번길 17 (의정부동) 1층,전화번호 : 031) 821-9429
이소 전주점,전북 완주군 이서면 오공로 11-28 ,전화번호 : 063-236-1117
이소 서부점,대구 달서구 구마로 223 (성당동) ,전화번호 : 053-653-1356
이소 부산 화명점,부산 북구 학사로17번나길 31 (화명동) 3층,전화번호 : 051-361-5552
이소 영주 가흥점,경북 영주시 대학로240번길 29-5 (가흥동) ,전화번호 : 054-636-7676
이소 학정동점,대구 북구 학남로 3 (학정동) 1층,전화번호 : 053-325-2626
이소 칠곡 매천점,대구 북구 매전로 80 (태전동) 105호,전화번호 : 053-327-3393
이소 현풍점,대구 달성군 유가면 테크노상업로 108 ,전화번호 : 053-614-1119
이소 홍대점,서울 마포구 와우산로30길 3 (창전동) 102호,전화번호 : 02-336-7567
이소 두류 내당점,대구 달서구 성당로 219 (두류동) ,전화번호 : 053-652-5111
이소 구미 상모점,경북 구미시 상사동로 62 (임은동) ck 빌딩 1층,전화번호 : 054-461-2211
이소 정관점,부산 기장군 정관읍 정관4로 37 제일프라자 104호,전화번호 : 051-728-2882
이소 명지점,부산 강서구 명지오션시티4로 82 (명지동) 108호,전화번호 : 051-271-7115
이소 신라대점,부산 사상구 백양대로700번길 13 (덕포동) 상가 105동 101호 이소떡,전화번호 : 051-302-8111
이소 김포 운양점,경기 김포시 김포한강11로 310 (운양동) ,전화번호 : 031-983-5311
이소 평택용이점,경기 평택시 현촌4길 6 (용이동) ,전화번호 : 031-618-3811
이소 원흥점,경기 고양시 덕양구 도래울로 103 (도내동) ,전화번호 : 031-966-5112
이소 김포 장기점,경기 김포시 김포한강2로 96 (장기동) ,전화번호 : 031-985-2111
이소 이충점,경기 평택시 송탄로40번길 71-19 (이충동) ,전화번호 : 031-667-0711
