순위,영화명,변동폭
1,1987,0
2,신과함께-죄와 벌,0
3,쥬만지: 새로운 세계,0
4,강철비,0
5,위대한 쇼맨,0
6,페르디난드,0
7,원더,0
8,코코,2
9,너의 이름은.,1
10,다운사이징,1
11,블레이드 러너 2049,2
12,그것만이 내 세상,0
13,"쏘아올린 불꽃, 밑에서 볼까? 옆에서 볼까?",4
14,메이즈 러너: 데스 큐어,0
15,염력,1
16,기억의 밤,3
17,더 포리너,2
18,찰스 디킨스의 비밀 서재,4
19,극장판 포켓몬스터 너로 정했다!,4
20,러빙 빈센트,1
21,꾼,3
22,스타워즈: 라스트 제다이,2
23,골든슬럼버,8
24,스타박'스 다방,3
25,조선명탐정: 흡혈괴마의 비밀,2
26,흥부,6
27,패터슨,2
28,아오 오니,4
29,뽀로로 극장판 공룡섬 대모험,3
30,22년 후의 고백,0
31,어벤져스: 인피니티 워,2
32,메이헴,12
33,범죄도시,1
34,지오스톰,6
35,돌아와요 부산항애(愛),1
36,반드시 잡는다,1
37,원더풀 라이프,1
38,모범생,10
39,극장판 프리파라 모두의 동경♪ 렛츠고☆프리파리,3
40,블랙 팬서,0
41,몬스터 패밀리,6
42,리틀 포레스트,5
43,다키스트 아워,8
44,수면의 과학,2
45,해피 데스데이,6
46,1급기밀,1
47,하이큐!! 콘셉트의 싸움,10
48,덩케르크,5
49,리얼,8
50,쥬만지,8
