,sotre,sido,gungu,store_address
1100,충남연기군조치원점,세종,세종시,세종특별자치시조치원읍신흥샛터길41
1101,충남예산군삽교점,충남,예산군,충청남도예산군삽교읍삽교로76
1102,충남예산군예산점,충남,예산군,충청남도예산군예산읍역전로113
1103,충남천안시구성점,충남,천안시,충청남도천안시동남구삼룡천2길9
1104,충남천안시두정1점,충남,천안시,충청남도천안시서북구부성1길40-6
1105,충남천안시두정대아점,충남,천안시,충남천안시서북구두정중11길22
1106,충남천안시목천신계점,충남,천안시,충청남도천안시동남구목천읍목천안터1길4
1107,충남천안시병천북면점,충남,천안시,충청남도천안시동남구충절로1456
1108,충남천안시불당점,충남,천안시,충청남도천안시서북구불당7길33
1109,충남천안시성환점,충남,천안시,충청남도천안시서북구성환읍신선동길20
1110,충남천안시신방1점,충남,천안시,충청남도천안시동남구새말4길5
1111,충남천안시신방초원점,충남,천안시,충청남도천안시동남구수곡로22
1112,충남천안시신방통정점,충남,천안시,충청남도천안시동남구풍세로809
1113,충남천안시신부점,충남,천안시,충청남도천안시동남구천안천8길53-1
1114,충남천안시쌍봉점,충남,천안시,충청남도천안시서북구봉서5길17
1115,충남천안시쌍용1점,충남,천안시,충청남도천안시서북구쌍용9길10-1
1116,충남천안시안서점,충남,천안시,충청남도천안시동남구중암샛길13
1117,충남천안시입장점,충남,천안시,충청남도천안시서북구입장면입장로135
1118,충남천안시직산점,충남,천안시,충청남도천안시서북구직산읍아랫말2길9
1119,충남천안시풍세점,충남,천안시,충남천안시동남구풍세면풍년길46-1
1120,충남태안군안면점,충남,태안군,충청남도태안군안면읍장터로99-3
1121,충남태안군태안1점,충남,태안군,충청남도태안군태안읍군청10길12
1122,충남홍성군내포신도시점,충남,홍성군,충청남도홍성군홍북면의향로289번길에이원프라자105호
1123,충남홍성군홍성점,충남,홍성군,충청남도홍성군홍성읍문화로110
1124,충북괴산군괴산점,충북,괴산군,충북괴산군괴산읍읍내로13길17
1125,충북단양군단양점,충북,단양군,충북단양군단양읍도전4길21
1126,충북단양군매포읍점,충북,단양군,충북단양군매포읍단양로1922
1127,충북보은군보은점,충북,보은군,충북보은군보은읍삼산로33
1128,충북영동군영동점,충북,영동군,충청북도영동군영동읍학산영동로1143
1129,충북옥천군옥천점,충북,옥천군,충청북도옥천군옥천읍성신로48
1130,충북음성군금왕점[B],충북,음성군,충북음성군금왕읍무극로324번길19
1131,충북음성군대소점,충북,음성군,충북음성군대소면오태로137번길23
1132,충북음성군맹동점,충북,음성군,충북음성군맹동면덕금로409번길4
1133,충북음성군맹동혁신도시점,충북,음성군,충북음성군맹동면대하로273지음프라자2차107
1134,충북음성군삼성점[B],충북,음성군,충북음성군삼성면덕정로48
1135,충북음성군생극점,충북,음성군,충청북도음성군생극면음성로1639-1
1136,충북음성군음성점,충북,음성군,충북음성군음성읍시장로78
1137,충북제천시강제점,충북,제천시,충북제천시청풍호로7안길3-1
1138,충북제천시신백점,충북,제천시,충북제천시신백로14길12
1139,충북제천시제천1점,충북,제천시,충북제천시숭문로100
1140,충북제천시청전점,충북,제천시,충북제천시의림대로31길22
1141,충북증평군증평점,충북,증평군,충북증평군증평읍충청대로1758
1142,충북진천군광혜원점[B],충북,진천군,충북진천군광혜원면화랑1길7
1143,충북진천군덕산점[B],충북,진천군,충북진천군덕산면용몽2길17-5
1144,충북진천군진천점,충북,진천군,충북진천군진천읍중앙서로90
1145,충북청원군강내점,충북,청주시,충청북도청주시흥덕구강내면월곡길16
1146,충북청원군내수점,충북,청주시,충청북도청주시청원구내수읍은곡묵방길52-10
1147,충북청원군오송점,충북,청주시,충청북도청주시흥덕구오송읍연제길7
1148,충북청원군오창점,충북,청주시,충북청주시청원구오창읍연구단지로21
1149,충북청주시가경1점,충북,청주시,충청북도청주시흥덕구풍년로111번길22-5
1150,충북청주시강서가경2점[B],충북,청주시,충청북도청주시흥덕구서현북로58
1151,충북청주시개신점,충북,청주시,충청북도청주시서원구신율로61
1152,충북청주시광장점,충북,청주시,충청북도청주시상당구산성로112번길18
1153,충북청주시봉명점,충북,청주시,충북청주시흥덕구백봉로172
1154,충북청주시분평점[B],충북,청주시,충청북도청주시서원구1순환로1109
1155,충북청주시사직점,충북,청주시,충청북도청주시서원구호국로16
1156,충북청주시사천점,충북,청주시,충청북도청주시청원구새터로187
1157,충북청주시산남3지구성화점,충북,청주시,충청북도청주시서원구원흥로14
1158,충북청주시산남점,충북,청주시,충북청주시서원구수곡로57번길17
1159,충북청주시용암2점,충북,청주시,충청북도청주시상당구중고개로240번길3
1160,충북청주시용암점,충북,청주시,충청북도청주시상당구낙영로4번길18
1161,충북청주시율량2지구점,충북,청주시,충북청주시청원구율량로135
1162,충북청주시율량점,충북,청주시,충청북도청주시청원구공항로112번길34
1163,충북청주시청대점,충북,청주시,충북청주시청원구상당로232번길32
1164,충북청주시하복대점,충북,청주시,충청북도청주시흥덕구진재로27번길36-6
1165,충북충주시건대점,충북,충주시,충북충주시충열4길6
1166,충북충주시대소원면점,충북,충주시,충북충주시대소원면새터1길9
1167,충북충주시목행동량점,충북,충주시,충북충주시행정9길32
1168,충북충주시수안보점,충북,충주시,충북충주시수안보면온천중앙길32
1169,충북충주시신니면점,충북,충주시,충북충주시신니면덕고개로4
1170,충북충주시충주1점,충북,충주시,충북충주시금제6길1
1171,충북충주시충주2점,충북,충주시,충북충주시형설로110-1
1172,충북충주시충주3점,충북,충주시,충북충주시중원대로3393
1173,충북충주시칠금점,충북,충주시,충북충주시우륵로10
1174,충북충주시한국교통대점,충북,충주시,충북충주시대소원면대학로28
