,store,sido,gungu,store_address
1000,전남여수시신기점,전남,여수시,전남여수시새터로93
1001,전남여수시안산점,전남,여수시,전남여수시도원로186
1002,전남여수시여서점,전남,여수시,전남여수시대치3길13-1
1003,전남영광군영광점,전남,영광군,전남영광군영광읍신남로213-1
1004,전남영암군삼호점,전남,영암군,전남영암군삼호읍대불주거로1길80
1005,전남완도군완도점,전남,완도군,전남완도군완도읍개포로177번길11
1006,전남장흥군장흥점,전남,장흥군,전남장흥군장흥읍북부로39
1007,전남진도군진도점,전남,진도군,전남진도군진도읍남문길47
1008,전남함평군함평점,전남,함평군,전남함평군함평읍중앙길172-1
1009,전남해남군우수영점,전남,해남군,전남해남군문내면동영길22-1
1010,전남해남군해남점,전남,해남군,전남해남군해남읍중앙1로167-1
1011,전남화순군화순점,전남,화순군,전남화순군화순읍만연로37
1012,전북고창군고창점,전북,고창군,전북고창군고창읍성산3길3
1013,전북군산시군산대점,전북,군산시,전북군산시미제1길5-4
1014,전북군산시나운1점,전북,군산시,전북군산시신설2길6-4
1015,전북군산시나운2점,전북,군산시,전북군산시나운안2길11
1016,전북군산시소룡산북점,전북,군산시,전북군산시동아로130
1017,전북군산시수송점,전북,군산시,전북군산시수송7길21
1018,전북군산시오식도점,전북,군산시,전북군산시가도로177
1019,전북군산시옥서점,전북,군산시,전북군산시옥서면옥구저수지로217
1020,전북군산시조촌점,전북,군산시,전북군산시진포로169
1021,전북군산시중앙점,전북,군산시,전북군산시중앙로94
1022,전북김제시김제점,전북,김제시,전북김제시동서로232
1023,전북남원시남원점,전북,남원시,전북남원시동충동336번지1층
1024,전북무주군무주스키점,전북,무주군,전북무주군설천면구천동1로6
1025,전북무주군무주점,전북,무주군,전북무주군무주읍단천로84
1026,전북부안읍부안점,전북,부안군,전라북도부안군부안읍수정길5
1027,전북완주군봉동3공단점,전북,완주군,전북완주군봉동읍원둔산3길13
1028,전북완주군삼례우석대점,전북,완주군,전북완주군삼례읍동학로83
1029,전북완주군혁신점,전북,완주군,전북완주군이서면안전로107-3
1030,전북익산시동산점,전북,익산시,전북익산시서동로88
1031,전북익산시모현점,전북,익산시,전북익산시고현로14길8-1
1032,전북익산시부송점,전북,익산시,전북익산시부송로14길21
1033,전북익산시신동남중점,전북,익산시,전북익산시익산대로70길23
1034,전북익산시영등점,전북,익산시,전북익산시고봉로255
1035,전북익산시함열점,전북,익산시,전북익산시함열읍함열중앙로15
1036,전북전주시덕진전북대점,전북,전주시,전북전주시덕진구명륜5길19-6
1037,전북전주시동산점,전북,전주시,전북전주시덕진구쪽구름5길5
1038,전북전주시삼천점,전북,전주시,전북전주시완산구거마남로58
1039,전북전주시서곡점,전북,전주시,전북전주시완산구서곡1길5-12
1040,전북전주시서신점,전북,전주시,전북전주시완산구서신천변11길22
1041,전북전주시서학중앙점[B],전북,전주시,전북전주시완산구서학1길2
1042,전북전주시송천점,전북,전주시,전북전주시덕진구천마산로12
1043,전북전주시아중점,전북,전주시,전북전주시덕진구동가재미3길8
1044,전북전주시전주대점,전북,전주시,전북전주시완산구효자로92
1045,전북전주시중화산점,전북,전주시,전북전주시완산구메너머1길29
1046,전북전주시진북인후점,전북,전주시,전북전주시덕진구팔달로346
1047,전북전주시평화1점,전북,전주시,전북전주시완산구평화17길10
1048,전북전주시호성점,전북,전주시,전북전주시덕진구소리로198
1049,전북전주시효자점,전북,전주시,전북전주시완산구강변로120
1050,전북정읍시수성점,전북,정읍시,전북정읍시수성1로55-14
1051,전북정읍시시기점,전북,정읍시,전북정읍시천변로350-1
1052,제주서귀포시강정해군기지점,제주,서귀포시,제주서귀포시강정동2735
1053,제주서귀포시대정점,제주,서귀포시,제주서귀포시대정읍하모항구로6번길27
1054,제주서귀포시서귀포1점,제주,서귀포시,제주서귀포시일주동로8600
1055,제주서귀포시서귀포2호점,제주,서귀포시,제주서귀포시장수로98
1056,제주서귀포시성산점,제주,서귀포시,제주서귀포시성산읍고성동서로56번길18
1057,제주서귀포시신시가지점,제주,서귀포시,제주특별자치도서귀포시신북로17
1058,제주서귀포시중문점,제주,서귀포시,제주서귀포시천제연로191
1059,제주서귀포시표선점,제주,서귀포시,제주서귀포시표선면표선동서로288
1060,제주제주시노형점,제주,제주시,제주제주시연화로1길24
1061,제주제주시도남점,제주,제주시,제주제주시독짓골4길11
1062,제주제주시아라점,제주,제주시,제주제주시중앙로578
1063,제주제주시애월점,제주,제주시,제주제주시애월읍곽지5길1
1064,제주제주시연동점,제주,제주시,제주제주시삼무로82
1065,제주제주시외도점,제주,제주시,제주제주시일주서로7312
1066,제주제주시용담점,제주,제주시,제주제주시용문로157
1067,제주제주시일도점,제주,제주시,제주특별자치도제주시청귤로3길51
1068,제주제주시조천함덕점,제주,제주시,제주제주시조천읍함덕16길7
1069,제주제주시한림점,제주,제주시,제주제주시한림읍한림중앙로46
1070,제주제주시화북삼양점,제주,제주시,제주제주시진남로6길9
1071,충남계룡시계룡점,충남,계룡시,충청남도계룡시엄사면번영로74
1072,충남공주시금학점,충남,공주시,충청남도공주시우금티로547
1073,충남공주시신관점,충남,공주시,충남공주시번영1로97-12
1074,충남금산군금산점,충남,금산군,충청남도금산군금산읍금산로1491
1075,충남논산시논산1점,충남,논산시,충남논산시시민로258번길7
1076,충남논산시논산항공학교,충남,논산시,충청남도논산시노성면송당리5
