,store,sido,gungu,store_address
0,강원강릉시내곡점,강원,강릉시,강원강릉시범일로579번길49-2
1,강원강릉시사천해변점,강원,강릉시,강원도강릉시사천면진리해변길99
2,강원강릉시솔올점,강원,강릉시,강원강릉시원대로155
3,강원강릉시입암점,강원,강릉시,강원강릉시강변로410번길36
4,강원강릉시주문진점,강원,강릉시,강원강릉시주문진읍주문로11
5,강원강릉시초당점,강원,강릉시,강원강릉시초당원길19
6,강원강릉시포남1점,강원,강릉시,강원강릉시가작로287번길7
7,강원강릉시홍제점,강원,강릉시,강원도강릉시홍제로33
8,강원동해시망상점,강원,동해시,강원동해시동해대로6270-31
9,강원동해시부곡점,강원,동해시,강원동해시발한로96
10,강원동해시천곡점,강원,동해시,강원동해시한섬로18
11,강원동해시효가점,강원,동해시,강원동해시동해대로5033
12,강원삼척시교동점,강원,삼척시,강원삼척시정상로10-6
13,강원속초시교동점,강원,속초시,강원속초시수복로74
14,강원속초시금호점,강원,속초시,강원속초시미시령로3473
15,강원속초시조양점,강원,속초시,강원속초시동해대로3996
16,강원양구군동면점,강원,양구군,강원도양구군동면금강산로1681
17,강원양구군방산점,강원,양구군,강원도양구군방산면장거리길18
18,강원양구군양구점,강원,양구군,강원양구군양구읍중앙길12
19,강원양양군양양점,강원,양양군,강원양양군양양읍양양로83-1
20,강원양양군하조대점,강원,양양군,강원양양군현북면조준길6
21,강원영월군영월점,강원,영월군,강원영월군영월읍은행나무길58
22,강원원주시단계점,강원,원주시,강원원주시원문로146
23,강원원주시단관점,강원,원주시,강원원주시단관초교길9
24,강원원주시단구점,강원,원주시,강원원주시서원대로383
25,강원원주시명륜점,강원,원주시,강원원주시남산로30
26,강원원주시무실점,강원,원주시,강원원주시섬밭들2길16-2
27,강원원주시문막점,강원,원주시,강원원주시문막읍건등로40-3
28,강원원주시반곡봉산점,강원,원주시,강원원주시반곡길47
29,강원원주시태장점,강원,원주시,강원원주시북원로2704-4
30,강원원주시혁신도시점,강원,원주시,강원원주시웅비2길8
31,강원인제군서화점[B],강원,인제군,강원도인제군서화면천도로126번길6
32,강원인제군신남점,강원,인제군,강원도인제군남면신남로23
33,강원인제군인제점,강원,인제군,강원도인제군인제읍인제로197-1
34,강원인제군현리점,강원,인제군,강원인제군기린면내린천로3905-1
35,강원정선군정선점,강원,정선군,강원정선군정선읍봉양6길28
36,강원철원군내대리점,강원,철원군,강원철원군갈말읍두루미로414
37,강원철원군동송점,강원,철원군,강원도철원군동송읍금학로202
38,강원철원군신철원점,강원,철원군,강원도철원군갈말읍삼부연로17번길3-14
39,강원철원군와수리점,강원,철원군,강원도철원군서면와수로181번길7-16
